year doy  h  Ap F107  
2020 240  5   5  71.4
2020 240  6   6  71.4
2020 240  7   6  71.4
2020 240  8   6  71.4
2020 240  9   6  71.4
2020 240 10   6  71.4
2020 240 11   6  71.4
2020 240 12  18  71.4
2020 240 13  18  71.4
2020 240 14  18  71.4
2020 240 15   4  71.4
2020 240 16   4  71.4
2020 240 17   4  71.4
2020 240 18   4  71.4
2020 240 19   4  71.4
2020 240 20   4  71.4
2020 240 21   4  71.4
2020 240 22   4  71.4
2020 240 23   4  71.4
2020 241  0   0  71.5
2020 241  1   0  71.5
2020 241  2   0  71.5
2020 241  3   2  71.5
2020 241  4   2  71.5
2020 241  5   2  71.5
2020 241  6   3  71.5
2020 241  7   3  71.5
2020 241  8   3  71.5
2020 241  9   6  71.5
2020 241 10   6  71.5
2020 241 11   6  71.5
2020 241 12  12  71.5
2020 241 13  12  71.5
2020 241 14  12  71.5
2020 241 15  39  71.5
2020 241 16  39  71.5
2020 241 17  39  71.5
2020 241 18   6  71.5
2020 241 19   6  71.5
2020 241 20   6  71.5
2020 241 21   9  71.5
2020 241 22   9  71.5
2020 241 23   9  71.5
2020 242  0  12  71.6
2020 242  1  12  71.6
2020 242  2  12  71.6
2020 242  3  12  71.6
2020 242  4  12  71.6
2020 242  5  12  71.6
2020 242  6  18  71.6
2020 242  7  18  71.6
2020 242  8  18  71.6
2020 242  9   9  71.6
2020 242 10   9  71.6
2020 242 11   9  71.6
2020 242 12   5  71.6
2020 242 13   5  71.6
2020 242 14   5  71.6
2020 242 15   7  71.6
2020 242 16   7  71.6
2020 242 17   7  71.6
2020 242 18  18  71.6
2020 242 19  18  71.6
2020 242 20  18  71.6
2020 242 21  18  71.6
2020 242 22  18  71.6
2020 242 23  18  71.6
2020 243  0   7  71.4
2020 243  1   7  71.4
2020 243  2   7  71.4
2020 243  3  18  71.4
2020 243  4  18  71.4
2020 243  5  18  71.4
2020 243  6   7  71.4
2020 243  7   7  71.4
2020 243  8   7  71.4
2020 243  9   5  71.4
2020 243 10   5  71.4
2020 243 11   5  71.4
2020 243 12   6  71.4
2020 243 13   6  71.4
2020 243 14   6  71.4
2020 243 15   7  71.4
2020 243 16   7  71.4
2020 243 17   7  71.4
2020 243 18   4  71.4
2020 243 19   4  71.4
2020 243 20   4  71.4
2020 243 21  12  71.4
2020 243 22  12  71.4
2020 243 23  12  71.4
2020 244  0  22  70.5
2020 244  1  22  70.5
2020 244  2  22  70.5
2020 244  3  32  70.5
2020 244  4  32  70.5
2020 244  5  32  70.5
2020 244  6  12  70.5
2020 244  7  12  70.5
2020 244  8  12  70.5
2020 244  9  39  70.5
2020 244 10  39  70.5
2020 244 11  39  70.5
2020 244 12  32  70.5
2020 244 13  32  70.5
2020 244 14  32  70.5
2020 244 15  22  70.5
2020 244 16  22  70.5
2020 244 17  22  70.5
2020 244 18  22  70.5
2020 244 19  22  70.5
2020 244 20  22  70.5
2020 244 21  15  70.5
2020 244 22  15  70.5
2020 244 23  15  70.5
